Preprocessed_text,Spam
analyst candidate mitra mujica mitra mujica accepts offer aa program would like interview earliest convience thanks help regards maureen forwarded maureen raymond hou ect 02 16 2001 05 43 pm enron north america corp andrea richards enron 02 16 2001 04 42 pm maureen raymond hou ect ect gwyn koepke na enron enron cc jana giovannini hou ect ect shelly butler hou ect ect althea gordon na enron enron teresa bosien hr corp enron enron subject analyst candidate mitra mujica maureen mitra mujica analyst candidate super thursday 2 15 reserved group please note placement contingent upon candidate accepting analyst program offer mitra two weeks respond contact response received please contact questions thank andrea richards career development associate analyst program x 3 6499,0
approval overdue access request paul thomas enron com system allow view request saying assigned left message admin originated requests hear back today think deny earlier sent emails individuals named asking data needed access none responded stinson vince j kaminski 01 31 2001 07 45 stinson gibner hou ect ect cc subject approval overdue access request paul thomas enron com stinson resolution one vince forwarded vince j kaminski hou ect 01 31 2001 07 48 arsystem 01 30 2001 07 17 35 pm vince j kaminski enron com cc subject approval overdue access request paul thomas enron com request pending approval 2 days alternate please click approval review act upon request request id 000000000015793 approver stinson gibner enron com request create date 1 29 01 9 48 41 requested paul thomas enron com resource name enehou houston common research read resource type directory,0
giuseppe cell phone stinson problem vince stinson gibner 07 12 2000 11 26 vince j kaminski hou ect ect cc subject giuseppe cell phone vince loan giuseppe cell phone summer stinson forwarded stinson gibner hou ect 07 12 2000 11 25 samer takriti enron communications 06 28 2000 10 49 stinson gibner hou ect ect enron cc subject bandwidth trading feature set call may disconnect around 4 00 attend traders daily meeting couple issues 1 would possible get gappy cell phone summer phone home think reason avoiding installing phone apartment increasing cost houston stay 2 getting noisier gappy wandering could get office space downstairs share maintain presence 44 able discuss needed samer,0
2000 expenses know deadline 2000 invoices ap friday december 15 2000 order get 2000 expenses accounted 2000 need e mail name vendor amount cost center billed contact person costs consider services provided enron 2000 receive invoices employee expense reports purchases made 2000 submit invoices ap cutoff date need information noon friday december 29 2000 questions call 5 7094 thanx irma kristi ramona make sure everyone hr department know deadline thanx,0
houston trip extended rental apartment 20 th november shirley vince j kaminski 10 30 2000 01 31 pm shirley crenshaw hou ect ect cc vince j kaminski hou ect ect subject houston trip shirley hope ok apartment company vince forwarded vince j kaminski hou ect 10 30 2000 01 38 pm enron capital trade resources corp europe sharad agnihotri 10 30 2000 11 40 paulo issler hou ect ect zimin lu hou ect ect cc vince j kaminski hou ect ect subject houston trip hi hoping come houston 5 th 17 th november sorry short notice looking forward seeing sharad agnihotri,0
meeting today trip houston omar thanks presentation e mail tried emphasize phone call short term long term efforts utilize opnet often short term needs rules ebs sort discussion houston confirming meeting houston 6 8 th shall ask shirely crenshaw arrange conference room 19 th floor meeting held day april 6 th 7 th half day 8 th 8 th saturday meeting held wrap things needed ravi background info enron research people opnet simulation tool many industry use capacity planning ip based applications services network detail adenda follow wanted take opportunity thank time morning discuss performance engineering program ebs think find value enron overall approach quite high much better picture short term drivers need addressed move forward work think quickly emerge clear picture needs done soon confirm schedule april 6 8 book travel get houston already put call opnet technologies get resource houston one days demonstration q opnet toolset compose agenda us use meeting houston get next week questions please email ozaidi lucent com also call 503 778 0653 also pageable 1 800 467 1467 great weekend look forward hearing next week april 6 8 meeting best wishes,0
congratulations congratulations promotion,0
risk article fyi forwarded vasant shanbhogue hou ect 01 23 2001 09 06 ben parsons 01 23 2001 08 51 nigel price lon ect ect george albanis lon ect ect markus fiala lon ect ect jean sebastien fontaine corp enron enron katherine siig eu enron enron amitava dhar corp enron enron vasant shanbhogue hou ect ect ilan hershkovitz lon ect ect greg hedger lon ect ect david wall risk mgmt lon ect ect simon brooks lon ect ect cc bryan seyfried lon ect ect steven leppard lon ect ect subject risk article everyone read attached risk article calculating def probs cds quotes amazingly pretty close agreement methodology cds valuation reverse engineering def probs extension reverse engineering instead linearly interpolating cds quotes propose minimising error measure based smoothness def prob curve difference model market prices also amazing fact article published risk given essentially credit pricing paper plus one excellent idea given extra time resources brainpower reason similar work published ben thanks steve pointing article forwarded ben parsons lon ect 23 01 2001 14 40 london fax system 2 23 01 2001 14 09 ben parsons lon ect ect cc subject new fax received likely sender 44 20 7783 8076 received new fax 44 20 7783 8076 image contains 3 page,0
houston visit hi vince sorry meet houston hope philadelphia trip fruitful suffer weather related flight delays way back houston phone message stated may coming ny jan 2001 great vkaminski aol com subject houston visit soussan seems planned contingencies look forward meeting next week vince faiz soussan 11 28 2000 06 51 51 pm vince j kaminski enron com cc subject houston visit vince suggested arrangement perfect love italian steak choice really look forward meeting vkaminski aol com subject houston visit soussan let meet westin oaks next reception around 6 30 p thursday several nice restaurants within walking distance galleria shall make reservation italian steakhouse ok reach thursday cell phone 713 410 5396 look forward meeting vince faiz soussan 11 27 2000 04 37 30 pm vince j kaminski enron com cc subject houston visit great look forward dinner thurs 12 7 evening hopefully flight time although watched 60 minutes last night suffered delays lately let hope weather blame get way best leave message usual work thurs 914 253 4187 easily check houston staying westin oaks galleria preferred place book time coming town problem either great see soussan 914 253 4187 original message vince j kaminski enron com mailto vince j kaminski enron com sent monday november 27 2000 12 10 pm faizs texaco com cc vince j kaminski enron com subject houston visit soussan thanks message would great meet come houston shall town december 7 flying back philly morning assuming flight schedule shall available dinner please let know contact thursday december 7 th confirm look forward meeting vince faiz soussan 11 26 2000 09 04 01 pm vince j kaminski enron com cc subject houston visit dear vince greetings ny hope well great thanksgiving coming houston 12 6 12 7 hope available either evening dinner would great see catch latest really enjoyed visit last april insights risk book gave hope available meet pls let know evening suits better best soussan faiz texaco inc 914 253 4187,0
1 2 day kevin scheduled attend quarterly new hire orientation day 16 march planned work morning rush go cover noon 2 00 p tasks sam kevin g moore ect 03 10 2000 07 51 shirley crenshaw hou ect ect mike roberts hou ect ect vince j kaminski hou ect ect william smith corp enron enron cc subject 1 2 day goodmorning shirley reminder doctor appointment 16 th march appointment 11 30 plan leave around 11 00 thanks kevin moore,0
